checkpoint,repo_id,revision,release_panel,task_id,family,rank_spearman,pearson,optimum_set_agreement,original_optimum_count,alternative_optimum_count,original_chance_score,alternative_chance_score
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,panel_1,fb-executable-substitution-136,substitution,0.8409432672590568,0.8812306506796191,True,1,1,41.5325,43.14732142857143
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,panel_1,fb-executable-substitution-124,substitution,0.5062200956937799,0.5568788587274236,False,1,1,47.64107142857143,48.301964285714284
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,panel_1,fb-executable-substitution-086,substitution,0.9099794941900206,0.9244028401558823,True,1,1,44.17964285714285,48.22553571428571
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,panel_1,fb-executable-substitution-040,substitution,0.7207108680792892,0.7529256386325438,False,1,1,44.99053571428571,37.940535714285716
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,panel_1,fb-executable-substitution-066,substitution,0.6647983595352016,0.6822848330997647,False,1,1,46.05267857142857,51.91410714285715
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,panel_1,fb-executable-substitution-106,substitution,0.7514610893346163,0.7880887824456265,True,1,1,34.54982142857143,41.77321428571428
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,panel_1,fb-executable-substitution-042,substitution,0.47792207792207797,0.4616098369875971,False,1,1,50.01392857142857,42.62446428571428
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,panel_1,fb-executable-substitution-049,substitution,0.5180539654544057,0.5363893995555303,False,1,1,43.3725,50.13196428571428
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,panel_1,fb-executable-substitution-143,substitution,0.8144907723855093,0.8153323136782231,False,1,1,45.49196428571428,46.20196428571428
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,panel_1,fb-executable-substitution-101,substitution,0.745911584380684,0.7844689663248706,False,1,1,40.41303571428571,44.87017857142857
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,panel_1,fb-executable-substitution-099,substitution,0.8410799726589201,0.8756056094286053,False,1,1,46.754285714285714,55.30982142857143
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,panel_1,fb-executable-substitution-075,substitution,0.22960064255988247,0.1608530029289595,False,1,1,45.58089285714286,49.184285714285714
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,panel_1,fb-executable-substitution-006,substitution,0.23041695146958308,0.2596219428554646,False,1,1,42.31232142857143,51.041964285714286
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,panel_1,fb-executable-substitution-065,substitution,0.5527093765225393,0.5461033191464528,False,1,1,51.761964285714285,37.72732142857143
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,panel_1,fb-executable-substitution-089,substitution,0.7399863294600136,0.7541531559255491,True,1,1,44.74035714285715,47.02571428571429
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,panel_1,fb-executable-substitution-027,substitution,0.43356117566643887,0.47313748919519666,True,1,1,49.88732142857143,54.237857142857145
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,panel_1,fb-executable-substitution-113,substitution,0.9027153575370906,0.9388341687068531,True,1,1,40.51625,35.74910714285714
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,panel_1,fb-executable-substitution-072,substitution,0.630827067669173,0.6497644171657253,False,1,1,49.27964285714285,49.98625
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,panel_1,fb-executable-substitution-007,substitution,0.7187969924812031,0.7635409634820326,False,1,1,49.77160714285715,57.37410714285715
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,panel_1,fb-executable-substitution-025,substitution,0.4470342966185268,0.46621945579048396,False,1,1,49.76464285714285,53.90089285714285
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,panel_1,fb-executable-substitution-013,substitution,0.8983595352016405,0.8949395733705535,False,1,1,43.49,45.45625
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,panel_1,fb-executable-substitution-087,substitution,0.9362269309637731,0.941601968903343,True,1,1,44.72517857142857,42.27732142857143
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,panel_1,fb-executable-substitution-008,substitution,0.4615174299384826,0.522907014591322,False,1,1,43.91589285714285,47.83696428571429
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,panel_1,fb-executable-substitution-125,substitution,0.5255387139987068,0.5538581543133807,False,1,1,49.674285714285716,58.13285714285715
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,panel_1,fb-executable-substitution-069,substitution,0.7266357936090594,0.7769391417066028,False,1,1,44.82160714285715,40.188928571428576
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,panel_1,fb-executable-substitution-127,substitution,0.7838004101161996,0.808038206155188,True,1,1,47.23714285714286,45.604107142857146
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,panel_1,fb-executable-substitution-088,substitution,0.752904989747095,0.8063274108062177,False,1,1,45.99964285714285,40.550714285714285
